compactness,k2,Solar Masses,Radius (km)
0.0011299396030695996,0.7667743670207587,0.0006328738440559491,0.8289410218548741
0.015471542099756758,0.6809641393216551,0.03192193254984208,3.0536361449392335
0.02854836509661215,0.6260319275155672,0.07966389074656158,4.129923304045971
0.04051927242452958,0.5783989584203432,0.13413046084679442,4.899226224335652
0.05151772585586768,0.5368030902083819,0.19149518326689263,5.501269058884931
0.06165664503954197,0.5002442900602594,0.24970160328038257,5.993812550422732
0.07103219674628293,0.4679220554920257,0.3075403947896356,6.407795410219787
0.07972677809355189,0.4391895486299942,0.36427635765919036,6.762207406688183
0.08781138636735535,0.4135195383582706,0.4194617482847277,7.069736774958676
0.0953475173077345,0.3904788127890085,0.47283141377780286,7.339367737626262
0.10238869750984578,0.3697087438196419,0.5242395078162402,7.577735535637873
0.10898173043764102,0.3509103743164686,0.5736194264684353,7.789899717724288
0.11516771644438796,0.3338328675517372,0.6209575778266442,7.979816250218065
0.12098289309576238,0.3182644809159026,0.6662757883707622,8.150641314290635
0.12645933158371056,0.304025453871907,0.7096192938101361,8.304935204752294
0.13162551711593198,0.2909623610535885,0.7510484394940999,8.444803977273228
0.13650683516981385,0.2789435952362196,0.7906328975375376,8.572000712637658
0.14112598091363496,0.2678557299426897,0.8284476201657105,8.687999685866425
0.1455033055633341,0.25760057077872006,0.8645700068274704,8.794051826868586
0.149657110699304,0.24809275105998482,0.8990779287373646,8.891226940795722
0.15360389942300992,0.23925775933952917,0.9320483639851839,8.980446355071066
0.1573585915460053,0.23103031310713612,0.9635564699494231,9.06250851329095
0.16093470866846268,0.22335301002635244,0.9936749700710782,9.138109285889472
0.16434453394096432,0.21617520449530409,1.0224737669490558,9.207858264566285
0.1675992504520722,0.2094520674669297,1.0500197182368414,9.27229196311308
0.17070906149893,0.20314379570763247,1.076376529227994,9.33188460688372
0.1736832954439762,0.19721494428237493,1.101604728496923,9.387057022425882
0.1765304974102388,0.1916338606094795,1.1257617019776613,9.438184015620992
0.17925850969983007,0.18637220290808743,1.1489017674259332,9.4856005365529
0.1818745425184959,0.18140452865712778,1.1710762760141222,9.529606862514264
0.18438523634053824,0.176707941972354,1.192333731344299,9.570472980442156
0.18679671704288653,0.17226179026675195,1.2127199187770652,9.608442312066886
0.18911464476646433,0.16804740235096957,1.232278039911065,9.643734895943846
0.19134425732077256,0.1640478619298029,1.2510488484871676,9.676550118026464
0.1934904088287271,0.16024781083790796,1.269070785062841,9.707069064883536
0.1955576042089648,0.1566332775482332,1.2863801085993576,9.735456559861928
0.19755003000883495,0.1531915277469971,1.3030110236978631,9.761862931565194
0.1994715820302818,0.14991093324967333,1.3189958026601494,9.78642555529875
0.2013258901307595,0.14678085713737388,1.3343649018759896,9.809270201134137
0.20311634053014938,0.14379155243095804,1.349147072277386,9.830512216589227
0.20484609591117312,0.14093407303284838,1.3633694637749085,9.850257567329143
0.2065181135635181,0.1382001947656938,1.3770577237161548,9.8686037555397
0.208135161790079,0.13558234551524764,1.390236089495398,9.885640632544312
0.20969983476626705,0.1330735431096247,1.4029274755041294,9.901451119694048
0.21121456601977204,0.13066734025404952,1.415153554652546,9.91611184945316
0.21268164067781295,0.12835777510912835,1.4269348347170758,9.92969373684911
0.21410320661127058,0.1261393275145578,1.438290729782295,9.942262489989917
0.21548128458981355,0.12400687951201556,1.4492396270506163,9.953879067121111
0.21681777754886478,0.12195568007021178,1.4597989492923398,9.964600086659152
0.21811447905765324,0.11998131347587021,1.4699852132029056,9.974478195760856
0.2193730810675416,0.11807967073921122,1.4798140839262712,9.983562402246497
0.22059518101093087,0.11624692398645436,1.4893004259924478,9.991898374061048
0.22178228831335167,0.11447950319164568,1.498458350905901,9.99952870991828
0.22293583037453432,0.11277407521981038,1.5073012616090742,10.006493184310726
0.2240571580682683,0.11112752489384156,1.5158418940324714,10.012828969670762
0.22514755080560986,0.10953693777711694,1.5240923559302682,10.018570838126985
0.2262082212013347,0.1079995844911989,1.5320641631878267,10.02375134500463
0.22724031937942765,0.10651290656038323,1.539768273775472,10.028400995963423
0.2282449369497474,0.10507450340464529,1.5472151195112078,10.032548399444886
0.22922311068482096,0.10368212065392252,1.5544146357842827,10.036220405908132
0.2301758259227615,0.10233363926628754,1.5613762893804488,10.039442235165458
0.23110401971987277,0.10102706574944108,1.568109104540637,10.042237592981927
0.23200858377410577,0.09976052310108327,1.5746216873747865,10.044628777975333
0.23289036713859615,0.09853224261616822,1.5809222487443324,10.046636779739313
0.23375017874263934,0.09734055626004942,1.5870186257185526,10.048281369014438
0.23458878973586608,0.09618388977224826,1.5929183017024064,10.049581180643784
0.23540693566991536,0.09506075621933885,1.5986284253265222,10.050553789973232
0.23620531853058935,0.09396975010848055,1.604155828183367,10.05121578328865
0.23698460863232346,0.0929095420474325,1.6095070414877013,10.051582822821752
0.23774544638570844,0.09187887366653098,1.6146883117334445,10.051669706802645
0.238488443947912,0.09087655300182781,1.6197056154144567,10.051490424990813
0.23921418676492945,0.08990145031897778,1.6245646728712417,10.051058210072405
0.23992323501385004,0.0889524940834148,1.6292709613215577,10.05038558527567
0.2406161249526251,0.08802866732168801,1.6338297271286015,10.049484408521764
0.24129337018418276,0.08712900427347818,1.638245997356612,10.04836591339849
0.24195546284117894,0.08625258725901111,1.642524590660322,10.047040747217839
0.2426028746971039,0.08539854372564092,1.6466701275510558,10.045519006393931
0.24323605820907984,0.0845660435398238,1.650687040079801,10.04381026935631
0.24385544749715127,0.08375429654657619,1.6545795809741113,10.04192362719431
