index,compactness,k2,mass,radius
0.2,0.0031588939362931848,0.6005319324675475,0.007197668436885068,3.372240252893762
0.2,0.006436183117891957,0.5830701337812358,0.019481750674136808,4.479827635352635
0.2,0.00935472532245533,0.5739473407395831,0.03286454665075478,5.199460953317513
0.2,0.012064211706732665,0.5640426654373389,0.04689603248141035,5.753059525120394
0.2,0.01462530051178061,0.5564153675773889,0.061369113068915265,6.210216827260024
0.2,0.017071025551692823,0.5475168043589824,0.07616255068795394,6.603034754815539
0.2,0.019422178395271616,0.5402121179359847,0.09119637942825914,6.949305006213027
0.2,0.021693053354631654,0.5327620568372425,0.10641387471408054,7.260044586725417
0.2,0.023894085523366262,0.5256361497112518,0.12177276711223982,7.542606941365151
0.2,0.026033232010134535,0.518238064680602,0.13724041853726432,7.802174518941013
0.2,0.028116764825387244,0.5112051612828908,0.15279094214187225,8.0425538206228
0.2,0.03014975831398746,0.5058212518871249,0.16840337165547303,8.266633100487272
0.2,0.03213640518135647,0.49931752987727773,0.184060439795112,8.476662195397035
0.2,0.034080230303674734,0.49319344147278993,0.1997477307406643,8.674432034700978
0.2,0.03598424052270609,0.48702776394251945,0.21545307306370984,8.861394418845189
0.2,0.03785103269775763,0.48179055169632395,0.2311660931467853,9.038744612046225
0.2,0.03968287359999737,0.47665439447135943,0.24687787915738757,9.20747990268925
0.2,0.04148176025690556,0.4714627263768999,0.2625807232544025,9.3684421299798
0.2,0.04324946638097369,0.46564367693163433,0.27826792045391463,9.522349215688099
0.2,0.04498757867573483,0.4607311032423647,0.2939336093684533,9.669818973830452
0.2,0.04669752563634284,0.45575171726486335,0.30957264444762456,9.811387381645563
0.2,0.048380600690141266,0.4512966767371045,0.3251804922939109,9.947522803144073
0.2,0.050037981003896295,0.4464825854585359,0.34075314663878686,10.078637205328793
0.2,0.05167074292798321,0.4410938359983121,0.35628705796627547,10.205095106238861
0.2,0.0532798747982851,0.43694634338698113,0.371779074766005,10.327220789028535
0.2,0.054866287638823674,0.43210909980248746,0.3872263941157601,10.445304174102711
0.2,0.05643082417952836,0.42848552015059926,0.40262651981944614,10.559605641006263
0.2,0.05797426650886225,0.42379191362255814,0.4179772267169332,10.670360019932254
0.2,0.0594973426112668,0.4192221496161086,0.4332765300756404,10.777779920384488
0.2,0.06100073198586577,0.4154319094166289,0.4485226591971498,10.882058526209017
0.2,0.06248507050309582,0.4116511112441743,0.46371403454360044,10.983371957474644
0.2,0.06395095462472528,0.4073546881650813,0.47884924782188576,11.081881278162944
0.2,0.06539894508874675,0.4041225627177909,0.4939270445678575,11.177734212202378
0.2,0.06682957014175954,0.39984559016337734,0.5089463088551377,11.271066617783454
0.2,0.06824332838663252,0.39579132501503805,0.5239060498187713,11.362003760116465
0.2,0.06964069130131566,0.3924199871935797,0.5388053897363818,11.450661415171504
0.2,0.07102210547526817,0.3888093480131523,0.5536435534520759,11.537146830917411
0.2,0.07238799460222721,0.38529264736807023,0.5684198589627127,11.621559567819983
0.2,0.07373876126184363,0.38182983278256416,0.5831337090143959,11.703992236548292
0.2,0.07507478851764705,0.37837326347252953,0.5977845835803235,11.784531147775613
0.2,0.07639644135458074,0.3748141816650897,0.6123720331100687,11.863256886487935
0.2,0.07770406797589963,0.3721312627733145,0.6268956724565263,11.940244821203226
0.2,0.07899800097637386,0.3684747879232054,0.6413551753998881,12.015565556851444
0.2,0.0802785584063293,0.36530644090143666,0.6557502696992852,12.089285338716612
0.2,0.08154604473904761,0.36211707574052776,0.6700807326119963,12.161466413721453
0.2,0.08280075175232943,0.35890969744872964,0.6843463868281889,12.232167354413248
0.2,0.08404295933368507,0.3557298216037264,0.6985470967758334,12.301443350220755
0.2,0.08527293621726578,0.3530151546899136,0.7126827652562124,12.369346469925214
0.2,0.08649094065976863,0.35002355003789876,0.7267533303753019,12.435925898719715
0.2,0.08769722106144962,0.3471422598118301,0.7407587627407317,12.50122815280643
0.2,0.08889201653793988,0.3441146861820606,0.7546990628972807,12.565297274038661
0.2,0.09007555744754413,0.3413744182325745,0.7685742589774881,12.62817500684472
0.2,0.09124806587840611,0.33864912077380854,0.782384404546228,12.689900959341228
0.2,0.09240975609929379,0.33601966297863084,0.7961295766208201,12.750512750328731
0.2,0.09356083497742147,0.3332031906432359,0.8098098738500457,12.810046143637981
0.2,0.09470150236625295,0.3303619285816731,0.8234254148374416,12.868535171134608
0.2,0.09583195146601622,0.3280221536704399,0.8369763365956191,12.926012245516997
0.2,0.0969523691592945,0.325233615971138,0.8504627931199891,12.982508263924336
0.2,0.09806293632383807,0.32280682436377384,0.8638849540712009,13.038052703247224
0.2,0.0991638281245481,0.3203744344230482,0.8772430035569699,13.092673707933582
0.2,0.10025521428632601,0.31782026416551007,0.8905371390046465,13.146398170999078
0.2,0.10133725934939275,0.31540190882611907,0.9037675701169611,13.199251808867057
0.2,0.10241012290844284,0.3130008250061754,0.9169345179039441,13.251259230604427
0.2,0.10347395983695365,0.3109697997535494,0.9300382137847942,13.30244400205047
0.2,0.1045289204977473,0.3085800915639269,0.943078898753974,13.352828705295599
0.2,0.10557515094097174,0.3057709618732944,0.9560568226064726,13.40243499390024
0.2,0.10661279309019676,0.30320757512937174,0.9689722432174324,13.451283644248376
0.2,0.1076419849178889,0.30154618979827236,0.9818254258720842,13.49939460331519
0.2,0.10866286061065723,0.29903138459290907,0.9946166426418349,13.546787033191213
0.2,0.10967555072525058,0.2965541887143459,1.0073461718033059,13.593479352601504
0.2,0.11068018233585131,0.2951268465504035,1.0200142972968425,13.639489275672554
