compactness,k2
0.001,0.7475315843352841
0.005434343434343434,0.726970916947135
0.009868686868686867,0.7085320760793188
0.014303030303030304,0.6904314604397536
0.018737373737373737,0.6726555830653561
0.02317171717171717,0.6552012299179732
0.027606060606060606,0.6380648154972095
0.032040404040404036,0.6212428591443718
0.03647474747474747,0.604731896848032
0.04090909090909091,0.5885284668933866
0.04534343434343434,0.5726291298675024
0.049777777777777775,0.5570304581996551
0.05421212121212121,0.5417290416060089
0.05864646464646464,0.5267214840131101
0.06308080808080807,0.5120044053262222
0.06751515151515151,0.49757444047669375
0.07194949494949494,0.4834282400222115
0.07638383838383837,0.46956246987395517
0.08081818181818182,0.45597381144520827
0.08525252525252525,0.44265896160653034
0.08968686868686868,0.4296146327571669
0.09412121212121212,0.4168375528392581
0.09855555555555555,0.40432446539060646
0.10298989898989898,0.39207212954430115
0.10742424242424242,0.3800773200866226
0.11185858585858585,0.36833682746110313
0.11629292929292928,0.3568474578246862
0.12072727272727271,0.34560603307142007
0.12516161616161614,0.3346093908678027
0.1295959595959596,0.32385438468889904
0.13403030303030303,0.31333788385419176
0.13846464646464646,0.30305677356736727
0.1428989898989899,0.2930079549505853
0.14733333333333332,0.283188345088712
0.15176767676767675,0.27359487706676217
0.15620202020202018,0.26422450001303144
0.16063636363636363,0.25507417914392266
0.16507070707070706,0.24614089580868354
0.1695050505050505,0.2374216475344841
0.17393939393939392,0.22891344807583205
0.17837373737373735,0.2206133274655534
0.18280808080808078,0.2125183320651885
0.18724242424242424,0.2046255246198151
0.19167676767676767,0.19693198431464143
0.1961111111111111,0.18943480683243566
0.20054545454545453,0.18213110441602942
0.20497979797979796,0.17501800593107678
0.20941414141414139,0.16809265693335568
0.21384848484848484,0.16135221973876865
0.21828282828282827,0.1547938734964221
0.2227171717171717,0.14841481426629177
0.22715151515151513,0.14221225509996663
0.23158585858585856,0.13618342612679474
0.236020202020202,0.1303255746440001
0.24045454545454542,0.12463596521279248
0.24488888888888888,0.11911187976003891
0.2493232323232323,0.11375061768608377
0.25375757575757574,0.1085494959800199
0.2581919191919192,0.1035058493425281
0.2626262626262626,0.09861703031728372
0.26706060606060605,0.09388040943200074
0.27149494949494946,0.08929337535006235
0.2759292929292929,0.08485333503396904
0.2803636363636363,0.08055771392204675
0.2847979797979798,0.07640395612010628
0.28923232323232323,0.07238952460970499
0.29366666666666663,0.06851190147535614
0.2981010101010101,0.06476858815319801
0.3025353535353535,0.06115710570386412
0.30696969696969695,0.057674995113222265
0.31140404040404035,0.05431981762482366
0.3158383838383838,0.05108915510896535
0.32027272727272726,0.04798061047387809
0.32470707070707067,0.04499180812597709
0.3291414141414141,0.04212039448712038
0.3335757575757575,0.039364038578761675
0.338010101010101,0.03672043268483248
0.34244444444444444,0.03418729310793437
0.34687878787878784,0.03176236103666801
0.3513131313131313,0.029443403546389545
0.3557474747474747,0.02722821476107872
0.36018181818181816,0.025114617211432235
0.36461616161616156,0.023100463433846197
0.369050505050505,0.021183637867775666
0.3734848484848485,0.019362059126492664
0.3779191919191919,0.01763368274009806
0.38235353535353533,0.015996504503223267
0.38678787878787874,0.014448564607420786
0.3912222222222222,0.01298795280742035
0.3956565656565656,0.011612814973177047
0.40009090909090905,0.01032136153629794
0.4045252525252525,0.009111878585831977
0.4089595959595959,0.00798274276979695
0.41339393939393937,0.006932441841173539
0.41782828282828277,0.005959603908244173
0.42226262626262623,0.005063040779027392
0.4266969696969697,0.004241815615179407
0.4311313131313131,0.0034953562701596484
0.43556565656565654,0.0028236659156709036
0.44,0.0022277883880858036
