compactness,k2
0.001,0.25787410567720387
0.005535353535353536,0.24756945128296462
0.01007070707070707,0.23786170635266365
0.014606060606060609,0.22850550368473865
0.019141414141414143,0.2194874033544704
0.023676767676767678,0.21079557637237448
0.028212121212121216,0.2024186089007814
0.03274747474747475,0.19434552505561914
0.037282828282828286,0.18656575983327592
0.041818181818181824,0.17906914005542654
0.046353535353535355,0.17184586819769754
0.05088888888888889,0.16488650529862944
0.05542424242424243,0.15818195577808553
0.05995959595959596,0.1517234524295728
0.0644949494949495,0.14550254248928945
0.06903030303030304,0.1395110743590746
0.07356565656565657,0.13374118495159676
0.0781010101010101,0.1281852877225282
0.08263636363636365,0.12283606127974507
0.08717171717171718,0.11768643856946043
0.09170707070707071,0.1127295965740651
0.09624242424242425,0.10795894652845239
0.10077777777777779,0.1033681245994147
0.10531313131313132,0.09895098301360741
0.10984848484848486,0.0947015816084571
0.1143838383838384,0.09061417977860722
0.11891919191919192,0.0866832288002521
0.12345454545454546,0.08290336451171644
0.127989898989899,0.0792694003297867
0.13252525252525255,0.07577632058613558
0.13706060606060608,0.07241927416513266
0.1415959595959596,0.06919356842738364
0.14613131313131314,0.06609466340540007
0.15066666666666667,0.06311816625570414
0.1552020202020202,0.060259825954973166
0.15973737373737373,0.05751552822781983
0.1642727272727273,0.05488129069415868
0.16880808080808082,0.052353258225306655
0.17334343434343435,0.04992769849835761
0.1778787878787879,0.047600997739022655
0.18241414141414142,0.045369656643516665
0.18694949494949495,0.04323028647113225
0.1914848484848485,0.04117960529852742
0.19602020202020204,0.03921443442890602
0.20055555555555557,0.0373316949476591
0.2050909090909091,0.03552840441829627
0.20962626262626263,0.03380167371186644
0.21416161616161616,0.032148703963202845
0.21869696969696972,0.03056678364878927
0.22323232323232325,0.02905328578018412
0.22776767676767679,0.02760566520790777
0.23230303030303032,0.02622145603076408
0.23683838383838385,0.024898269105897923
0.24137373737373738,0.023633789655080353
0.2459090909090909,0.022425774963031064
0.25044444444444447,0.021272052163780336
0.254979797979798,0.020170516111264743
0.25951515151515153,0.019119127330624316
0.2640505050505051,0.018115910046821913
0.2685858585858586,0.017158950287406254
0.27312121212121215,0.016246394056476324
0.27765656565656566,0.015376445576998077
0.2821919191919192,0.014547365598909812
0.2867272727272727,0.013757469770474758
0.2912626262626263,0.01300512707078105
0.29579797979797984,0.01228875830119933
0.30033333333333334,0.011606834633957714
0.3048686868686869,0.010957876216002312
0.3094040404040404,0.010340450827630191
0.31393939393939396,0.009753172591063342
0.31847474747474747,0.009194700733782266
0.323010101010101,0.008663738402097105
0.3275454545454546,0.008159031521231963
0.3320808080808081,0.007679367709353981
0.33661616161616165,0.007223575243824298
0.34115151515151515,0.006790522071304575
0.3456868686868687,0.006379114875144664
0.35022222222222227,0.005988298194987579
0.35475757575757577,0.005617053602638449
0.35929292929292933,0.0052643989375531445
0.36382828282828283,0.004929387606467461
0.3683636363636364,0.004611107953038746
0.3728989898989899,0.004308682705138044
0.37743434343434346,0.004021268509554541
0.381969696969697,0.0037480555665943905
0.3865050505050505,0.003488267380566048
0.3910404040404041,0.003241160646533462
0.3955757575757576,0.00300602529941698
0.40011111111111114,0.0027821847589179433
0.40464646464646464,0.0025689964132794693
0.4091818181818182,0.002365852397449061
0.41371717171717176,0.0021721807376723534
0.41825252525252526,0.0019874469562698306
0.4227878787878788,0.001811156259273927
0.4273232323232323,0.001642856468209776
0.4318585858585859,0.001482141909084269
0.43639393939393945,0.0013286585414847064
0.44092929292929295,0.0011821107047843445
0.4454646464646465,0.0010422699876050437
0.45,0.0009089868997783563
